NumeroPedido;DtHoraPedido;DtHoraIntegracaoERP;Loja-Nome;Cod Loja;Bairro Entrega;CategoriaProduto;FormaPagamento;QTD.Itens;Qtd Unidades Devolvidas;NrItensCancelados;Peso Total (kg);ValorBrutoPedido(R$);Valor Desconto (R$);ValorLiquidoPedido(R$);HouveDesconto;CanalPedido;Dt Separacao Estoque;DtNotaFiscal;Dt_Despacho_Transportadora;DtEntregaCliente;Valor Frete (R$);TransportadoraResponsavel;SituacaoPedido;OBS
PA-2023-00001;09/01/2023 10:07 AM;09/01/2023 10:27 AM;Pata Amiga Santo Amaro da Imperatriz;;Centro;MEDICAMENTO;Debito;7;0;0;7.0;-;R$ 85,28;402,01;true;SITE;2023-09-02;2023-09-02;2023-09-11;2023-09-16;17.88;Logistica Propria;Entregue;embalagem para presente
PA-2023-00003;09/01/2023 10:25 AM;09/01/2023 10:45 AM;Pata Amiga Tubarão;LJ-022;Centro;RACAO;Cartão de Crédito;6;0;0;14,2;1329.79;171,54;R$ 1.158,25;X;SITE;2023-09-02;2023-09-02;2023-09-05;2023-09-06;41,21;Rapido Catarinense;Entregue;conferir endereco com o cliente
PA-2023-00004;09/01/2023 12:00 PM;09/01/2023 03:00 PM;Pata Amiga Chapecó;;Sao Cristovao;ACESSORIO;DINHEIRO;3;N/I;0;11.9;236;R$ 7,35;229,63;SIM;site;2023-09-02;2023-09-03;2023-09-04;2023-09-06;25,01;Correios;Entregue;aguardando confirmacao de estoque
PA-2023-00002;09/01/2023 07:40 PM;09/01/2023 08:30 PM;Pata Amiga Tubarão;LJ-022;Passagem;Servico;Debito;4;0;0;5.8;568.94;73,39;495;X;site;2023-09-02;2023-09-03;2023-09-06;2023-09-08;20,38;Logistica Propria;Entregue;
PA-2023-00015;09/02/2023 03:47 AM;09/02/2023 04:37 AM;PATA AMIGA JOINVILLE SUL;LJ-013;Jarivatuba;racao;Vale Pet;5;;0;13,1;R$ 725,53;140,03;585.50;V;App;2023-09-04;2023-09-05;;;;TransPet Log;Aguardando despacho;conferir endereco com o cliente
PA-2023-00005;09/02/2023 01:38 AM;09/02/2023 04:38 AM;pata amiga blumenau centro;LJ-001;Ribeirao Fresco;Racao Medicamentosa;Cartao de Credito;10;0;0;28.6;853.29;135,67;R$ 717,62;;App Pata Amiga;2023-09-04;2023-09-04;2023-09-08;2023-09-09;R$ 77,47;Rapido Catarinense;Entregue;aguardando confirmacao de estoque
PA-2023-00018;09/02/2023 04:47 AM;09/02/2023 04:57 AM;Pata Amiga Sao Bento do Sul;;Centro;brinquedo;Cartao de Debito;8;0;0;29.9;329,82;63,66;266,16;sim;App;2023-09-03;2023-09-03;2023-09-06;2023-09-08;-;Logistica Propria;Entregue;
PA-2023-00016;09/02/2023 08:35 AM;09/02/2023 08:55 AM;pata amiga joinville sul;LJ-013;Vila Nova;Racao;Pix;5;0;1;9.3;808,96;156,13;R$ 652,83;V;App;2023-09-04;2023-09-04;2023-09-07;2023-09-08;33,63;TransPet Log;Entregue;
PA-2023-00008;09/02/2023 08:55 AM;09/02/2023 09:05 AM;Pata Amiga Rio do Sul;LJ-002;Centro;Ração;boleto;6;0;0;24,5;914;R$ 109,73;804,71;X;App Pata Amiga;2023-09-03;2023-09-03;2023-09-06;2023-09-07;86,86;Entrega Expressa SC;Entregue;
PA-2023-00011;09/02/2023 10:40 AM;09/02/2023 11:00 AM;Pata Amiga Brusque;;;Brinquedo;Cartao de Debito;4;0;0;6,3;176.71;R$ 12,72;163,99;S;loja fisica;;;;;;;Retirada na loja;
PA-2023-00017;09/02/2023 10:25 AM;09/02/2023 11:00 AM;pata amiga joinville sul;LJ-013;Boa Vista;Acessorio;vale pet;1;0;0;1,9;116,47;R$ 22,48;93.99;Sim;Whatsapp;2023-09-03;2023-09-04;2023-09-07;2023-09-10;R$ 9,53;TransPet Log;Entregue;aguardando confirmacao de estoque
PA-2023-00010;09/02/2023 11:15 AM;09/02/2023 11:25 AM;Pata Amiga Itajaí Praia;LJ-003;Sao Vicente;Rac.;DINHEIRO;;;n/d;10.1;862;62;R$ 800,79;Sim;Site;2023-09-04;2023-09-04;2023-09-09;2023-09-11;R$ 33,34;Rapido Catarinense;Entregue;
PA-2023-00019;09/02/2023 10:15 AM;09/02/2023 11:35 AM;PATA AMIGA ITAPOA;LJ-016;;Rac.;dinheiro;1;0;0;3.1;R$ 157,49;30,40;127,09;V;Whatsapp;2023-09-05;;;;;Correios;Aguardando nota fiscal;pedido recorrente
PA-2023-00012;09/02/2023 06:38 AM;09/02/2023 11:38 AM;Pata Amiga Timbo;LJ-005;Araponguinhas;BRINQUEDO;dinheiro;8;0;0;13.4;631;125.70;505,96;1;App Pata Amiga;2023-09-04;2023-09-04;2023-09-06;2023-09-07;22,63;TransPet Log;Entregue;produto fora de linha - substituido
PA-2023-00009;09/02/2023 01:00 PM;09/02/2023 01:20 PM;PATA AMIGA RIO DO SUL;;Budag;Servico;VALE PET;4;;1;11.1;323.58;38.83;284.75;Sim;Site;;;;;;;Pedido cancelado;embalagem para presente
